;IG_80;IG_160;IG_320;IG_400;CLS_80;CLS_160;CLS_320;CLS_400;DT_80;DT_160;DT_320;DT_400;nombre_not_nan;yes or no
acc_y_mean;0.857772555621632;0.7972272883303049;0.822728461662904;0.8337489930207895;;;;;0.05519345410542769;0.03276219682337389;0.03745276347467044;0.04025672387344372;8;Yes
acc_z_mean;0.733002013041417;0.7540789782587614;0.7784434717358903;0.7695049452167626;;;;;;;;;4;
acc_y_std;0.6828087031402423;0.665437395289703;0.6965172000408189;0.723135404636557;0.3027433418284518;0.36709815238964716;0.3980105699960847;0.4125985200815597;;;;;8;Yes
fcc_y_sma;0.6789228720520446;0.6659412286504045;0.6945971962966302;0.7268872477887072;0.4687045060135145;0.3784894448642778;0.4178722999504729;0.42676103116899994;;0.24963223664833387;;;9;Yes
acc_arc;0.6755568925533944;0.5790284692092835;0.6284359085915989;0.6552954176070007;0.5353061957295623;0.3644485536053412;0.30726673784799385;0.3848698014009938;;;;;8;Yes
acc_y_aad;0.6687041919954362;0.6656643381763729;0.6947157607338761;0.7261292536208286;0.3213785219248496;0.3784895486326662;0.40766128981449046;0.4267611527624125;0.22969820323097204;;;;9;Yes
acc_z_aad;0.6257710309982616;0.618069352085955;0.6371487615558751;0.6621781475787141;;;;;;;;;4;
acc_z_std;0.6178252196806291;0.6086748317545077;0.6142625808636586;0.6277403291451018;;;;;;;;;4;
nb_step;0.61690772366642;0.6059099153497616;0.6905851722498932;0.7289034846111837;0.5636662326547314;0.44616974201684434;0.4814044413174357;0.4858479222497592;0.06409041769269745;0.07622334658477645;0.3300286563388602;0.3338220467272922;12;Yes
acc_z_sma;0.6159887140218749;0.6183224246788175;0.631681960728123;0.6622779604707305;0.4085300910537714;;;;0.09085960329113729;;;;6;Yes
acc_x_mean;0.5195294795693814;;0.5475559204792244;0.6115743959839914;;;;;;;;;3;
acc_x_sma;;;;0.5121183752510048;0.512771813422062;0.35937641064212694;0.3344561119338681;0.3735455028392325;;;;;5;
mag_y_mean;;;;;;;;;;;;;0;
mag_x_mean;;;;;;;;;;;;;0;
acc_x_std;;;;0.5272204375678033;0.3101244114194948;0.3477013236980042;;0.3445421109999716;;;;;4;
mag_z_mean;;;;;;;;0.30771597225969144;;0.039670599755723304;;;2;
acc_x_aad;;;;0.5129671109606262;0.3159447973605901;0.35937633603588204;;0.37354547590695686;;;;;4;
acc_z_second_peak_index;;;;;0.35902321535181386;;;;;;;;1;
baro_std;;;0.5221047434133181;0.5962229986001564;;;;;;;;;2;
mag_arc;;;;;0.4187438184017557;;;;;;;;1;
baro_aad;;;0.5177526097849574;0.5980853469969292;;;;;;;;;2;
baro_sma;;;;0.597347400582837;;;;;0.06629238944779085;0.20155672688054868;0.20358855339495166;0.23675518207328772;5;
acc_y_second_peak_value;;;;;0.42658920056566757;;;;;;;;1;
mag_x_std;;;;;;;;;0.11313747014575427;0.0675957444990486;0.10645526425423345;;3;
mag_x_aad;;;;;;;;;;;;;0;
acc_z_second_peak_value;;;;;0.4501762057579104;;;;;;;;1;
mag_y_std;;;;;;;;;0.05467071823415852;;;;1;
gyr_y_std;;;;;0.3514906004626997;;;;;;;;1;
gyr_x_std;;;;;0.3812087844253906;;;;;;;;1;
mag_y_aad;;;;;;;;;;0.027484631945495067;;;1;
gyr_y_sma;;;;;0.3077041852848017;;;;;;;;1;
acc_x_second_peak_index;;;;;0.380439487986932;;;;;;;;1;
gyr_z_second_peak_index;;;;;0.34792054529984867;;;;;;;;1;
gyr_x_sma;;;;;0.41848021342810043;;;;;;;;1;
gyr_x_second_peak_index;;;;;0.3524785964253547;;;;;;;;1;
fag_y_sma;;;;;;;;;;;;;0;
acc_x_first_peak_index;;;;;;;;;;;;;0;
acc_y_second_peak_index;;;;;0.3813781833908757;;;;;;;;1;
mag_z_sma;;;;;;;;;;;;0.025471428858990404;1;
acc_x_second_peak_value;;;;;0.3987860612935955;;;;;;;;1;
mag_z_std;;;;;;;;;;;;;0;
mag_x_sma;;;;;;;;;;;;0.11741763775038162;1;
gyr_z_sma;;;;;0.5215779560138738;0.33051691049522114;0.4078713268312233;0.40681779861989664;;;;;4;
mag_z_aad;;;;;;;;;;;0.02136365826676632;;1;
acc_z_first_peak_index;;;;;;;;;;;;;0;
gyr_y_second_peak_index;;;;;0.37319042886076487;;;;;;;;1;
acc_y_first_peak_index;;;;;;;;;;;;;0;
gyr_z_std;;;;;0.3133310073354811;;;;;;;;1;
gyr_arc;;;;;;;;0.39666958128006335;0.040283656328754365;;;;2;
mag_x_first_peak_index;;;;;0.4119350364489832;;;;;;;;1;
gyr_x_mean;;;;;;;;;;;;;0;
gyr_y_mean;;;;;;;;;;;;;0;
gyr_y_aad;;;;;;;;;;;;;0;
mag_z_first_peak_index;;;;;0.3136947955759253;;;;;;;;1;
gyr_y_first_peak_index;;;;;;;;;;;;;0;
mag_z_second_peak_index;;;;;0.43159255356658577;;;;;;;;1;
mag_y_second_peak_index;;;;;0.41710219875633237;;;;;;;;1;
mag_x_second_peak_index;;;;;0.43175609891565586;;;;;;;;1;
baro_second_peak_index;;;;;0.44270837877971225;;;;;;;;1;
baro_mean;;;;;0.43980181372000576;;;;;;;;1;
baro_first_peak_index;;;;;0.4096611101537963;;;;;;;;1;
mag_y_first_peak_index;;;;;0.37405622697680824;;;;;;;;1;
gyr_x_first_peak_index;;;;;;;;;;;;;0;
gyr_z_aad;;;;;;0.33051679126776035;;0.40681772797653476;;;;;2;
baro_second_peak_value;;;;;0.37137361734154783;;;;;;;;1;
gyr_z_first_peak_index;;;;;;;;;;;;;0;
